dny;plné jízdné;důchodce;student (15 - 26 let);poloviční jízdné;žákovské jízdné (6 - 15 let);ZTP;ISIC;firemní
1;52;26;26;26;26;26;26;68
2;96;48;48;48;48;48;48;125
3;132;66;66;66;66;66;66;172
4;168;84;84;84;84;84;84;218
5;200;100;100;100;100;100;100;260
6;228;114;114;114;114;114;114;296
7;252;126;126;126;126;126;126;328
8;274;137;137;137;137;137;137;356
9;292;146;146;146;146;146;146;380
10;306;153;153;153;153;153;153;398
11;320;160;160;160;160;160;160;416
12;334;167;167;167;167;167;167;434
13;344;172;172;172;172;172;172;447
14;354;177;177;177;177;177;177;460
15;362;181;181;181;181;181;181;471
16;372;186;186;186;186;186;186;484
17;380;190;190;190;190;190;190;494
18;388;194;194;194;194;194;194;504
19;394;197;197;197;197;197;197;512
20;402;201;201;201;201;201;201;523
21;408;204;204;204;204;204;204;530
22;414;207;207;207;207;207;207;538
23;420;210;210;210;210;210;210;546
24;424;212;212;212;212;212;212;551
25;428;214;214;214;214;214;214;556
26;432;216;216;216;216;216;216;562
27;438;219;219;219;219;219;219;569
28;440;220;220;220;220;220;220;572
29;440;220;220;220;220;220;220;572
30;440;220;220;220;220;220;220;572
31;440;220;220;220;220;220;220;572
32;484;242;242;242;242;242;242;629
33;524;262;262;262;262;262;262;681
34;560;280;280;280;280;280;280;728
35;592;296;296;296;296;296;296;770
36;618;309;309;309;309;309;309;803
37;646;323;323;323;323;323;323;840
38;668;334;334;334;334;334;334;868
39;690;345;345;345;345;345;345;897
40;714;357;357;357;357;357;357;928
41;734;367;367;367;367;367;367;954
42;754;377;377;377;377;377;377;980
43;772;386;386;386;386;386;386;1004
44;786;393;393;393;393;393;393;1022
45;800;400;400;400;400;400;400;1040
46;808;404;404;404;404;404;404;1050
47;818;409;409;409;409;409;409;1063
48;826;413;413;413;413;413;413;1074
49;832;416;416;416;416;416;416;1082
50;840;420;420;420;420;420;420;1092
51;846;423;423;423;423;423;423;1100
52;854;427;427;427;427;427;427;1110
53;858;429;429;429;429;429;429;1115
54;862;431;431;431;431;431;431;1121
55;870;435;435;435;435;435;435;1131
56;872;436;436;436;436;436;436;1134
57;876;438;438;438;438;438;438;1139
58;878;439;439;439;439;439;;1141
59;882;441;441;441;441;441;;1147
60;890;445;445;445;445;445;;1157
61;898;449;449;449;449;449;;1167
62;906;453;453;453;453;453;;1178
63;924;462;462;462;462;462;;1201
64;960;480;480;480;480;480;;1248
65;992;496;496;496;496;496;;1290
66;1020;510;510;510;510;510;;1326
67;1046;523;523;523;523;523;;1360
68;1068;534;534;534;534;534;;1388
69;1088;544;544;544;544;544;;1414
70;1104;552;552;552;552;552;;1435
71;1120;560;560;560;560;560;;1456
72;1136;568;568;568;568;568;;1477
73;1150;575;575;575;575;575;;1495
74;1162;581;581;581;581;581;;1511
75;1174;587;587;587;587;587;;1526
76;1180;590;590;590;590;590;;1534
77;1190;595;595;595;595;595;;1547
78;1196;598;598;598;598;598;;1555
79;1204;602;602;602;602;602;;1565
80;1210;605;605;605;605;605;;1573
81;1220;610;610;610;610;610;;1586
82;1224;612;612;612;612;612;;1591
83;1232;616;616;616;616;616;;1602
84;1234;617;617;617;617;617;;1604
85;1236;618;618;618;618;618;;1607
86;1238;619;619;619;619;619;;1609
87;1242;621;621;621;621;621;;1615
88;1254;627;627;627;627;627;;1630
89;1258;629;629;629;629;629;;1635
90;1272;636;636;636;636;636;;1654
91;1282;641;641;641;641;641;;1667
92;1290;645;645;645;645;645;;1677
93;1300;650;650;650;650;650;;1690
94;1336;668;668;668;668;668;;1737
95;1370;685;685;685;685;685;;1781
96;1404;702;702;702;702;702;;1825
97;1436;718;718;718;718;718;;1867
98;1464;732;732;732;732;732;;1903
99;1486;743;743;743;743;743;;1932
100;1508;754;754;754;754;754;;1960
101;1532;766;766;766;766;766;;1992
102;1552;776;776;776;776;776;;2018
103;1572;786;786;786;786;786;;2044
104;1590;795;795;795;795;795;;2067
105;1606;803;803;803;803;803;;2088
106;1616;808;808;808;808;808;;2101
107;1628;814;814;814;814;814;;2116
108;1636;818;818;818;818;818;;2127
109;1644;822;822;822;822;822;;2137
110;1652;826;826;826;826;826;;2148
111;1656;828;828;828;828;828;;2153
112;1664;832;832;832;832;832;;2163
113;1670;835;835;835;835;835;;2171
114;1676;838;838;838;838;838;;2179
115;1682;841;841;841;841;841;;2187
116;1688;844;844;844;844;844;;2194
117;1690;845;845;845;845;845;;2197
118;1692;846;846;846;846;846;;2200
119;1694;847;847;847;847;847;;2202
120;1696;848;848;848;848;848;;2205
121;1698;849;849;849;849;849;;2207
122;1700;850;850;850;850;850;;2210
123;1702;851;851;851;851;851;;2213
;;;;;;;;
190;2260;1130;1130;1130;1130;1130;;2940
380;3910;1955;1955;1955;1955;1955;;5085
